
> replica@0.1.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://100.104.119.53:3000
- Environments: .env.local
✓ Ready in 657ms

 GET /facturacion 200 in 1470ms (next.js: 208ms, proxy.ts: 382ms, application-code: 880ms)
 GET /api/auth/session 200 in 30ms (next.js: 13ms, proxy.ts: 9ms, application-code: 9ms)
 GET /api/auth/providers 200 in 34ms (next.js: 19ms, proxy.ts: 7ms, application-code: 8ms)
 GET /api/auth/csrf 200 in 27ms (next.js: 11ms, proxy.ts: 9ms, application-code: 7ms)
 POST /api/auth/callback/credentials? 200 in 415ms (next.js: 10ms, proxy.ts: 8ms, application-code: 396ms)
 GET /api/auth/session 200 in 29ms (next.js: 8ms, proxy.ts: 6ms, application-code: 14ms)
 GET /api/auth/session 200 in 26ms (next.js: 8ms, proxy.ts: 7ms, application-code: 12ms)
 GET /api/auth/session 200 in 137ms (next.js: 54ms, proxy.ts: 8ms, application-code: 74ms)
 GET /admin/resumen 200 in 142ms (next.js: 9ms, proxy.ts: 8ms, application-code: 125ms)
 GET /admin/tenants 200 in 48ms (next.js: 7ms, proxy.ts: 7ms, application-code: 34ms)
 GET /admin/audit 200 in 102ms (next.js: 60ms, proxy.ts: 7ms, application-code: 35ms)
 GET /admin/impersonation 200 in 98ms (next.js: 59ms, proxy.ts: 7ms, application-code: 33ms)
 GET /admin/audit 200 in 42ms (next.js: 5ms, proxy.ts: 7ms, application-code: 30ms)
 GET /admin/tenants 200 in 38ms (next.js: 6ms, proxy.ts: 6ms, application-code: 26ms)
 GET /admin/audit 200 in 42ms (next.js: 6ms, proxy.ts: 8ms, application-code: 28ms)
 GET /admin/impersonation 200 in 39ms (next.js: 6ms, proxy.ts: 6ms, application-code: 28ms)
 GET /admin/courtesy 200 in 106ms (next.js: 67ms, proxy.ts: 7ms, application-code: 32ms)
 GET /admin/feedback 200 in 119ms (next.js: 63ms, proxy.ts: 9ms, application-code: 47ms)
 GET /login 200 in 66ms (next.js: 6ms, proxy.ts: 9ms, application-code: 52ms)
 GET /api/auth/session 200 in 25ms (next.js: 13ms, proxy.ts: 5ms, application-code: 7ms)
 GET /api/auth/session 200 in 17ms (next.js: 5ms, proxy.ts: 4ms, application-code: 9ms)
 GET /api/auth/providers 200 in 20ms (next.js: 7ms, proxy.ts: 6ms, application-code: 8ms)
 GET /api/auth/csrf 200 in 20ms (next.js: 7ms, proxy.ts: 8ms, application-code: 6ms)
 POST /api/auth/callback/credentials? 200 in 333ms (next.js: 4ms, proxy.ts: 5ms, application-code: 324ms)
 GET /api/auth/session 200 in 38ms (next.js: 17ms, proxy.ts: 6ms, application-code: 15ms)
 GET /api/auth/session 200 in 30ms (next.js: 10ms, proxy.ts: 5ms, application-code: 14ms)
 GET /api/auth/session 200 in 102ms (next.js: 59ms, proxy.ts: 9ms, application-code: 34ms)
 GET /admin/resumen 200 in 112ms (next.js: 8ms, proxy.ts: 9ms, application-code: 95ms)
 GET /admin/resumen 200 in 215ms (next.js: 6ms, proxy.ts: 13ms, application-code: 196ms)
 GET /api/auth/session 200 in 22ms (next.js: 5ms, proxy.ts: 7ms, application-code: 10ms)
 GET /api/auth/session 200 in 27ms (next.js: 8ms, proxy.ts: 4ms, application-code: 14ms)
 GET /admin/tenants 200 in 89ms (next.js: 3ms, proxy.ts: 4ms, application-code: 82ms)
 GET /api/auth/session 200 in 30ms (next.js: 14ms, proxy.ts: 4ms, application-code: 12ms)
 GET /api/auth/session 200 in 19ms (next.js: 4ms, proxy.ts: 4ms, application-code: 11ms)
 GET /admin/impersonation 200 in 85ms (next.js: 3ms, proxy.ts: 5ms, application-code: 76ms)
 GET /api/auth/session 200 in 31ms (next.js: 11ms, proxy.ts: 4ms, application-code: 15ms)
 GET /api/auth/session 200 in 19ms (next.js: 6ms, proxy.ts: 5ms, application-code: 8ms)
 GET /admin/courtesy 200 in 119ms (next.js: 5ms, proxy.ts: 6ms, application-code: 108ms)
 GET /api/auth/session 200 in 40ms (next.js: 13ms, proxy.ts: 6ms, application-code: 20ms)
 GET /api/auth/session 200 in 38ms (next.js: 10ms, proxy.ts: 12ms, application-code: 16ms)
 GET /admin/feedback 200 in 83ms (next.js: 4ms, proxy.ts: 5ms, application-code: 75ms)
 GET /api/auth/session 200 in 44ms (next.js: 18ms, proxy.ts: 6ms, application-code: 20ms)
 GET /api/auth/session 200 in 26ms (next.js: 8ms, proxy.ts: 9ms, application-code: 9ms)
 GET /resumen 200 in 263ms (next.js: 4ms, proxy.ts: 6ms, application-code: 253ms)
 GET /api/auth/session 200 in 43ms (next.js: 20ms, proxy.ts: 7ms, application-code: 15ms)
 GET /api/auth/session 200 in 37ms (next.js: 7ms, proxy.ts: 14ms, application-code: 16ms)
 GET /facturacion 200 in 79ms (next.js: 6ms, proxy.ts: 5ms, application-code: 68ms)
 GET /api/auth/session 200 in 49ms (next.js: 23ms, proxy.ts: 14ms, application-code: 12ms)
 GET /api/auth/session 200 in 20ms (next.js: 6ms, proxy.ts: 5ms, application-code: 9ms)
 GET /settings 200 in 64ms (next.js: 5ms, proxy.ts: 4ms, application-code: 55ms)
 GET /api/auth/session 200 in 38ms (next.js: 16ms, proxy.ts: 6ms, application-code: 16ms)
 GET /api/auth/session 200 in 33ms (next.js: 10ms, proxy.ts: 11ms, application-code: 12ms)
 GET /configuracion 200 in 160ms (next.js: 3ms, proxy.ts: 5ms, application-code: 152ms)
 GET /api/auth/session 200 in 31ms (next.js: 6ms, proxy.ts: 6ms, application-code: 18ms)
 GET /api/auth/session 200 in 23ms (next.js: 6ms, proxy.ts: 5ms, application-code: 13ms)
 GET /inbox 200 in 64ms (next.js: 4ms, proxy.ts: 4ms, application-code: 56ms)
 GET /api/auth/session 200 in 49ms (next.js: 17ms, proxy.ts: 8ms, application-code: 24ms)
 GET /api/auth/session 200 in 23ms (next.js: 7ms, proxy.ts: 9ms, application-code: 7ms)
 GET /reuniones 200 in 142ms (next.js: 48ms, proxy.ts: 4ms, application-code: 90ms)
 GET /api/auth/session 200 in 31ms (next.js: 12ms, proxy.ts: 4ms, application-code: 14ms)
 GET /api/auth/session 200 in 24ms (next.js: 4ms, proxy.ts: 6ms, application-code: 14ms)
 GET /productos 200 in 133ms (next.js: 44ms, proxy.ts: 6ms, application-code: 83ms)
 GET /api/auth/session 200 in 43ms (next.js: 12ms, proxy.ts: 12ms, application-code: 19ms)
 GET /api/auth/session 200 in 49ms (next.js: 25ms, proxy.ts: 7ms, application-code: 17ms)
 GET /analiticas 200 in 132ms (next.js: 49ms, proxy.ts: 5ms, application-code: 78ms)
 GET /api/auth/session 200 in 64ms (next.js: 25ms, proxy.ts: 14ms, application-code: 24ms)
 GET /api/auth/session 200 in 36ms (next.js: 7ms, proxy.ts: 16ms, application-code: 14ms)
 GET /biblioteca 200 in 123ms (next.js: 42ms, proxy.ts: 4ms, application-code: 77ms)
 GET /api/auth/session 200 in 135ms (next.js: 105ms, proxy.ts: 7ms, application-code: 23ms)
 GET /api/clone/sources 200 in 170ms (next.js: 80ms, proxy.ts: 7ms, application-code: 82ms)
 GET /api/auth/session 200 in 28ms (next.js: 6ms, proxy.ts: 8ms, application-code: 14ms)
 GET /resumen 200 in 294ms (next.js: 7ms, proxy.ts: 10ms, application-code: 277ms)
 GET /cerebro 200 in 576ms (next.js: 87ms, proxy.ts: 26ms, application-code: 464ms)
 GET /api/auth/session 200 in 167ms (next.js: 68ms, proxy.ts: 24ms, application-code: 75ms)
 GET /api/auth/session 200 in 73ms (next.js: 23ms, proxy.ts: 24ms, application-code: 26ms)
 GET /login 200 in 70ms (next.js: 8ms, proxy.ts: 6ms, application-code: 56ms)
 GET /api/auth/session 200 in 31ms (next.js: 18ms, proxy.ts: 7ms, application-code: 7ms)
 GET /api/auth/session 200 in 15ms (next.js: 5ms, proxy.ts: 4ms, application-code: 6ms)
 GET /api/auth/providers 200 in 22ms (next.js: 7ms, proxy.ts: 6ms, application-code: 8ms)
 GET /api/auth/csrf 200 in 15ms (next.js: 5ms, proxy.ts: 5ms, application-code: 5ms)
 POST /api/auth/callback/credentials? 200 in 245ms (next.js: 5ms, proxy.ts: 5ms, application-code: 235ms)
 GET /api/auth/session 200 in 26ms (next.js: 12ms, proxy.ts: 4ms, application-code: 10ms)
 GET /api/auth/session 200 in 15ms (next.js: 5ms, proxy.ts: 4ms, application-code: 7ms)
 GET /api/auth/session 200 in 162ms (next.js: 62ms, proxy.ts: 6ms, application-code: 95ms)
 GET /admin/resumen 200 in 173ms (next.js: 5ms, proxy.ts: 6ms, application-code: 163ms)
 GET /resumen 200 in 416ms (next.js: 14ms, proxy.ts: 21ms, application-code: 381ms)
 GET /api/auth/session 200 in 85ms (next.js: 32ms, proxy.ts: 21ms, application-code: 31ms)
 GET /api/auth/session 200 in 78ms (next.js: 20ms, proxy.ts: 23ms, application-code: 35ms)
 GET /inbox 200 in 159ms (next.js: 7ms, proxy.ts: 8ms, application-code: 143ms)
 GET /api/auth/session 200 in 59ms (next.js: 26ms, proxy.ts: 13ms, application-code: 20ms)
 GET /api/auth/session 200 in 36ms (next.js: 9ms, proxy.ts: 11ms, application-code: 16ms)
 GET /analiticas 200 in 152ms (next.js: 7ms, proxy.ts: 10ms, application-code: 135ms)
 GET /api/auth/session 200 in 102ms (next.js: 45ms, proxy.ts: 27ms, application-code: 30ms)
 GET /api/auth/session 200 in 59ms (next.js: 19ms, proxy.ts: 25ms, application-code: 15ms)
 GET /cerebro 200 in 205ms (next.js: 7ms, proxy.ts: 7ms, application-code: 191ms)
 GET /api/auth/session 200 in 67ms (next.js: 34ms, proxy.ts: 11ms, application-code: 22ms)
 GET /api/auth/session 200 in 42ms (next.js: 11ms, proxy.ts: 15ms, application-code: 16ms)
 GET /settings 200 in 164ms (next.js: 6ms, proxy.ts: 8ms, application-code: 150ms)
 GET /api/auth/session 200 in 67ms (next.js: 28ms, proxy.ts: 13ms, application-code: 26ms)
 GET /api/auth/session 200 in 36ms (next.js: 11ms, proxy.ts: 8ms, application-code: 16ms)
 GET /facturacion 200 in 191ms (next.js: 7ms, proxy.ts: 8ms, application-code: 176ms)
 GET /api/auth/session 200 in 64ms (next.js: 28ms, proxy.ts: 15ms, application-code: 22ms)
 GET /api/auth/session 200 in 36ms (next.js: 10ms, proxy.ts: 11ms, application-code: 16ms)
 GET /reuniones 200 in 217ms (next.js: 7ms, proxy.ts: 8ms, application-code: 203ms)
 GET /api/auth/session 200 in 70ms (next.js: 30ms, proxy.ts: 14ms, application-code: 26ms)
 GET /api/auth/session 200 in 86ms (next.js: 29ms, proxy.ts: 16ms, application-code: 42ms)
 GET /productos 200 in 174ms (next.js: 8ms, proxy.ts: 8ms, application-code: 157ms)
 GET /api/auth/session 200 in 62ms (next.js: 28ms, proxy.ts: 11ms, application-code: 23ms)
 GET /api/auth/session 200 in 64ms (next.js: 23ms, proxy.ts: 15ms, application-code: 26ms)
 GET /biblioteca 200 in 233ms (next.js: 6ms, proxy.ts: 7ms, application-code: 220ms)
 GET /api/clone/sources 200 in 85ms (next.js: 10ms, proxy.ts: 15ms, application-code: 60ms)
 GET /api/auth/session 200 in 89ms (next.js: 40ms, proxy.ts: 16ms, application-code: 33ms)
 GET /api/auth/session 200 in 33ms (next.js: 10ms, proxy.ts: 9ms, application-code: 14ms)
 GET /admin/resumen 200 in 170ms (next.js: 7ms, proxy.ts: 10ms, application-code: 154ms)
 GET /api/auth/session 200 in 146ms (next.js: 89ms, proxy.ts: 14ms, application-code: 43ms)
 GET /api/auth/session 200 in 51ms (next.js: 12ms, proxy.ts: 12ms, application-code: 26ms)
 GET /admin/tenants 200 in 167ms (next.js: 5ms, proxy.ts: 7ms, application-code: 155ms)
 GET /api/auth/session 200 in 66ms (next.js: 28ms, proxy.ts: 13ms, application-code: 25ms)
 GET /api/auth/session 200 in 38ms (next.js: 11ms, proxy.ts: 9ms, application-code: 18ms)
 GET /admin/impersonation 200 in 179ms (next.js: 8ms, proxy.ts: 8ms, application-code: 163ms)
 GET /api/auth/session 200 in 104ms (next.js: 55ms, proxy.ts: 17ms, application-code: 31ms)
 GET /api/auth/session 200 in 45ms (next.js: 12ms, proxy.ts: 12ms, application-code: 21ms)
 GET /admin/courtesy 200 in 245ms (next.js: 10ms, proxy.ts: 9ms, application-code: 227ms)
 GET /api/auth/session 200 in 58ms (next.js: 18ms, proxy.ts: 17ms, application-code: 23ms)
 GET /api/auth/session 200 in 55ms (next.js: 26ms, proxy.ts: 11ms, application-code: 18ms)
 GET /admin/feedback 200 in 214ms (next.js: 6ms, proxy.ts: 11ms, application-code: 197ms)
 GET /api/auth/session 200 in 65ms (next.js: 27ms, proxy.ts: 13ms, application-code: 25ms)
 GET /api/auth/session 200 in 34ms (next.js: 9ms, proxy.ts: 9ms, application-code: 16ms)
✓ Compiled in 1308ms
 GET /resumen 200 in 602ms (next.js: 215ms, proxy.ts: 112ms, application-code: 275ms)
 GET /login 200 in 177ms (next.js: 20ms, proxy.ts: 6ms, application-code: 151ms)
 GET /api/auth/session 200 in 167ms (next.js: 146ms, proxy.ts: 5ms, application-code: 17ms)
 GET /api/auth/session 200 in 24ms (next.js: 6ms, proxy.ts: 8ms, application-code: 9ms)
 GET /api/auth/providers 200 in 20ms (next.js: 7ms, proxy.ts: 8ms, application-code: 6ms)
 GET /api/auth/csrf 200 in 15ms (next.js: 5ms, proxy.ts: 6ms, application-code: 4ms)
 POST /api/auth/callback/credentials? 200 in 323ms (next.js: 6ms, proxy.ts: 5ms, application-code: 312ms)
 GET /api/auth/session 200 in 36ms (next.js: 15ms, proxy.ts: 4ms, application-code: 17ms)
 GET /api/auth/session 200 in 30ms (next.js: 10ms, proxy.ts: 7ms, application-code: 13ms)
 GET /api/auth/session 200 in 261ms (next.js: 132ms, proxy.ts: 46ms, application-code: 83ms)
 GET /admin/resumen 200 in 273ms (next.js: 47ms, proxy.ts: 47ms, application-code: 179ms)
 GET /resumen 200 in 241ms (next.js: 10ms, proxy.ts: 20ms, application-code: 211ms)
 GET /api/auth/session 200 in 35ms (next.js: 13ms, proxy.ts: 6ms, application-code: 15ms)
 GET /api/auth/session 200 in 24ms (next.js: 6ms, proxy.ts: 6ms, application-code: 12ms)
 GET /login 200 in 66ms (next.js: 9ms, proxy.ts: 5ms, application-code: 52ms)
 GET /api/auth/session 200 in 27ms (next.js: 12ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/auth/session 200 in 18ms (next.js: 7ms, proxy.ts: 4ms, application-code: 6ms)
 GET /api/auth/providers 200 in 17ms (next.js: 7ms, proxy.ts: 6ms, application-code: 5ms)
 GET /api/auth/csrf 200 in 17ms (next.js: 7ms, proxy.ts: 4ms, application-code: 6ms)
 POST /api/auth/callback/credentials? 200 in 288ms (next.js: 12ms, proxy.ts: 5ms, application-code: 271ms)
 GET /api/auth/session 200 in 55ms (next.js: 36ms, proxy.ts: 6ms, application-code: 13ms)
 GET /api/auth/session 200 in 22ms (next.js: 6ms, proxy.ts: 6ms, application-code: 10ms)
 GET /api/auth/session 200 in 74ms (next.js: 32ms, proxy.ts: 5ms, application-code: 37ms)
 GET /admin/resumen 200 in 80ms (next.js: 5ms, proxy.ts: 6ms, application-code: 69ms)
 GET /resumen 200 in 86ms (next.js: 6ms, proxy.ts: 9ms, application-code: 71ms)
 GET /api/auth/session 200 in 25ms (next.js: 7ms, proxy.ts: 7ms, application-code: 10ms)
 GET /api/auth/session 200 in 26ms (next.js: 7ms, proxy.ts: 9ms, application-code: 10ms)
 GET /inbox 200 in 154ms (next.js: 18ms, proxy.ts: 8ms, application-code: 128ms)
 GET /api/auth/session 200 in 63ms (next.js: 38ms, proxy.ts: 5ms, application-code: 21ms)
 GET /api/auth/session 200 in 31ms (next.js: 8ms, proxy.ts: 8ms, application-code: 15ms)
 GET /analiticas 200 in 239ms (next.js: 13ms, proxy.ts: 4ms, application-code: 223ms)
 GET /api/auth/session 200 in 132ms (next.js: 48ms, proxy.ts: 40ms, application-code: 43ms)
 GET /api/auth/session 200 in 60ms (next.js: 13ms, proxy.ts: 23ms, application-code: 25ms)
 GET /cerebro 200 in 220ms (next.js: 28ms, proxy.ts: 9ms, application-code: 184ms)
 GET /api/auth/session 200 in 77ms (next.js: 30ms, proxy.ts: 14ms, application-code: 33ms)
 GET /api/auth/session 200 in 37ms (next.js: 10ms, proxy.ts: 8ms, application-code: 18ms)
 GET /settings 200 in 359ms (next.js: 33ms, proxy.ts: 9ms, application-code: 318ms)
 GET /api/auth/session 200 in 66ms (next.js: 27ms, proxy.ts: 14ms, application-code: 24ms)
 GET /api/auth/session 200 in 40ms (next.js: 11ms, proxy.ts: 10ms, application-code: 20ms)
 GET /facturacion 200 in 201ms (next.js: 34ms, proxy.ts: 8ms, application-code: 159ms)
 GET /api/auth/session 200 in 72ms (next.js: 35ms, proxy.ts: 12ms, application-code: 26ms)
 GET /api/auth/session 200 in 40ms (next.js: 10ms, proxy.ts: 11ms, application-code: 19ms)
 GET /admin/tenants 200 in 308ms (next.js: 30ms, proxy.ts: 8ms, application-code: 270ms)
 GET /api/auth/session 200 in 68ms (next.js: 29ms, proxy.ts: 13ms, application-code: 26ms)
 GET /api/auth/session 200 in 49ms (next.js: 13ms, proxy.ts: 15ms, application-code: 22ms)
 GET /admin/impersonation 200 in 290ms (next.js: 29ms, proxy.ts: 10ms, application-code: 251ms)
 GET /api/auth/session 200 in 70ms (next.js: 31ms, proxy.ts: 15ms, application-code: 23ms)
 GET /api/auth/session 200 in 39ms (next.js: 12ms, proxy.ts: 9ms, application-code: 19ms)
 GET /admin/courtesy 200 in 222ms (next.js: 26ms, proxy.ts: 8ms, application-code: 188ms)
 GET /api/auth/session 200 in 68ms (next.js: 26ms, proxy.ts: 14ms, application-code: 28ms)
 GET /api/auth/session 200 in 33ms (next.js: 10ms, proxy.ts: 9ms, application-code: 15ms)
 GET /resumen 200 in 168ms (next.js: 7ms, proxy.ts: 11ms, application-code: 150ms)
 GET /api/auth/session 200 in 73ms (next.js: 32ms, proxy.ts: 15ms, application-code: 27ms)
 GET /api/auth/session 200 in 35ms (next.js: 11ms, proxy.ts: 7ms, application-code: 17ms)
 GET /biblioteca 200 in 78ms (next.js: 28ms, proxy.ts: 8ms, application-code: 43ms)
 GET /api/clone/sources 200 in 160ms (next.js: 97ms, proxy.ts: 10ms, application-code: 52ms)
 GET /api/clone/sources 200 in 43ms (next.js: 5ms, proxy.ts: 10ms, application-code: 28ms)
 GET /cerebro 200 in 51ms (next.js: 6ms, proxy.ts: 8ms, application-code: 37ms)
 GET /inbox 200 in 41ms (next.js: 6ms, proxy.ts: 6ms, application-code: 30ms)
 GET /productos 200 in 76ms (next.js: 29ms, proxy.ts: 9ms, application-code: 38ms)
 GET /analiticas 200 in 50ms (next.js: 7ms, proxy.ts: 7ms, application-code: 35ms)
 GET /facturacion 200 in 47ms (next.js: 6ms, proxy.ts: 8ms, application-code: 32ms)
 GET /settings 200 in 59ms (next.js: 7ms, proxy.ts: 10ms, application-code: 42ms)
 GET /configuracion 200 in 87ms (next.js: 31ms, proxy.ts: 6ms, application-code: 50ms)
 GET /facturacion 200 in 41ms (next.js: 6ms, proxy.ts: 7ms, application-code: 27ms)
 GET /api/auth/session 200 in 57ms (next.js: 27ms, proxy.ts: 10ms, application-code: 20ms)
 GET /api/auth/session 200 in 36ms (next.js: 10ms, proxy.ts: 8ms, application-code: 18ms)
 GET /facturacion 200 in 164ms (next.js: 8ms, proxy.ts: 9ms, application-code: 147ms)
 GET /api/auth/session 200 in 74ms (next.js: 33ms, proxy.ts: 17ms, application-code: 25ms)
 GET /api/auth/session 200 in 40ms (next.js: 11ms, proxy.ts: 10ms, application-code: 19ms)
✓ Compiled in 342ms
 GET /facturacion 200 in 1013ms (next.js: 243ms, proxy.ts: 129ms, application-code: 641ms)
 GET /facturacion 200 in 981ms (next.js: 19ms, proxy.ts: 550ms, application-code: 411ms)
 GET /api/auth/session 200 in 407ms (next.js: 314ms, proxy.ts: 23ms, application-code: 70ms)
